  0.818971E+00 -0.147622E-01 -0.737907E-01  0.190694E+01  0.186204E+01  0.372511E+00 -0.174488E+00
  0.252741E+01  0.171203E+00 -0.156918E+00  0.905450E+00  0.609231E+00 -0.664691E+00 -0.828502E-01
  0.249295E+01 -0.178622E+00 -0.143412E+00  0.777350E+00  0.484630E+00  0.603612E+00 -0.711288E-01
  0.210658E+00 -0.322489E-02 -0.190862E-01  0.192821E+01  0.189328E+01  0.319897E+00 -0.176434E+00
  0.899691E+00  0.821041E-01 -0.965662E-02  0.270603E-01  0.314764E-02 -0.267624E-01 -0.247606E-02
  0.230840E+01  0.114814E+00 -0.178352E+00  0.140218E+01  0.117406E+01 -0.755797E+00 -0.128301E+00
  0.674160E+00 -0.301224E-01 -0.541297E-01  0.151431E+01  0.131767E+01  0.733265E+00 -0.138562E+00
  0.143112E+01  0.120344E+00 -0.530091E-01  0.322268E+00  0.129363E+00 -0.293687E+00 -0.294880E-01
  0.477228E+00  0.431939E-01 -0.756325E-02  0.589977E-01  0.101330E-01 -0.578697E-01 -0.539838E-02
  0.146002E+01  0.134147E+00 -0.166703E-02  0.306222E-03  0.378913E-05 -0.304914E-03 -0.280198E-04
  0.223470E+01 -0.153338E+00 -0.136572E+00  0.877317E+00  0.581058E+00  0.652389E+00 -0.802759E-01
  0.720695E+00  0.979609E-02 -0.654940E-01  0.193986E+01  0.191047E+01 -0.285753E+00 -0.177500E+00
  0.303211E+00 -0.248960E-01 -0.125073E-01  0.399673E+00  0.178666E+00  0.355640E+00 -0.365707E-01
  0.122798E-01  0.278185E-03 -0.109353E-02  0.186271E+01  0.179764E+01 -0.457306E+00 -0.170441E+00
  0.207775E+01 -0.166646E+00 -0.646446E-02  0.297217E-02  0.114577E-03  0.295364E-02 -0.310933E-03
  0.243745E+01  0.141083E+00 -0.173949E+00  0.119630E+01  0.925222E+00 -0.750413E+00 -0.109463E+00
  0.154131E+01 -0.128452E+00 -0.596504E-01  0.351816E+00  0.147557E+00  0.317751E+00 -0.321918E-01
  0.192686E+01  0.211779E-01 -0.175782E+00  0.195488E+01  0.193270E+01 -0.232848E+00 -0.178875E+00
  0.196515E+01  0.170684E+00 -0.589327E-01  0.211248E+00  0.686552E-01 -0.198843E+00 -0.193295E-01
  0.609415E+00  0.558540E-01 -0.400406E-02  0.101402E-01  0.722024E-03 -0.100718E-01 -0.927840E-03
  0.537484E-01  0.137318E-02 -0.474404E-02  0.182994E+01  0.175041E+01 -0.506662E+00 -0.167442E+00
  0.206021E+01 -0.166388E+00 -0.902887E-01  0.451143E+00  0.214268E+00  0.394861E+00 -0.412803E-01
  0.189723E+01  0.108754E+00 -0.136249E+00  0.121143E+01  0.942827E+00 -0.752563E+00 -0.110848E+00
  0.129389E+01  0.785603E-01 -0.892380E-01  0.111732E+01  0.835127E+00 -0.735200E+00 -0.102237E+00
  0.108013E+01  0.626134E-01 -0.770068E-01  0.119393E+01  0.922472E+00 -0.750053E+00 -0.109246E+00
  0.186031E+01 -0.237668E-01 -0.169278E+00  0.194492E+01  0.191795E+01  0.269281E+00 -0.177963E+00
  0.120816E+01 -0.772890E-01 -0.796906E-01  0.102196E+01  0.730527E+00  0.708512E+00 -0.935111E-01
  0.110530E+01  0.950494E-01 -0.357867E-01  0.246235E+00  0.863994E-01 -0.229476E+00 -0.225309E-01
  0.229630E+01 -0.102905E+00 -0.184206E+00  0.151153E+01  0.131405E+01  0.734083E+00 -0.138308E+00
  0.659576E+00  0.475842E-01 -0.375351E-01  0.760705E+00  0.469148E+00 -0.594750E+00 -0.696058E-01
  0.107998E+01 -0.232168E-01 -0.964819E-01  0.187470E+01  0.181503E+01  0.436757E+00 -0.171538E+00
